269017,"Amanita pantherina group",38.7868,123.557,123.519,38.7597,WN
268684,"Amanita augusta Bojantchev & R.M. Davis",37.2863,122.318,121.581,36.8505,WN
268678,"Amanita velosa (Peck) Lloyd",37.5546,121.859,121.797,37.5021,WN
268393,"Amanita sect. Lepidella sensu Bas",36.8467,121.979,120.276,35.7955,WN
268285,"Amanita marmorata Cleland & E.-J. Gilbert",30.7575,152.944,153.02,30.8058,ES
268308,"Amanita gemmata group",37.974,122.269,122.256,37.9594,WN
268280,"Laccaria Berk. & Broome",37.1675,122.365,122.297,37.1123,WN
268277,,37.1675,122.365,122.297,37.1123,WN
268950,"Amanita Pers. sect. Amanita",33.1826,117.359,117.216,33.0604,WN
268027,"Amanita gemmata group",38.5923,123.343,123.283,38.5584,WN
267987,"Amanita augusta Bojantchev & R.M. Davis",38.5923,123.343,123.283,38.5584,WN
268108,"Amanita persicina (Dav. T. Jenkins) Tulloss & Geml",30.848,81.5641,81.5411,30.8348,WN
267771,"Amanita novinupta Tulloss & J. Lindgr.",35.7724,120.706,120.677,35.7373,WN
268711,"Amanita rubescens group",25.6902,28.0099,28.5046,26.0045,ES
268934,"Amanita novinupta Tulloss & J. Lindgr.",32.9428,117.223,117.115,32.9043,WN
268921,"Amanita Pers.",32.9428,117.223,117.115,32.9043,WN
268910,"Amanita calyptratoides Peck",32.9428,117.223,117.115,32.9043,WN
268903,"Amanita sponsus Tulloss et al. nom. prov.",32.9428,117.223,117.115,32.9043,WN
267521,"Amanita magniverrucata Thiers & Ammirati",34.1942,118.889,118.882,34.1891,WN
267491,"Amanita sect. Validae (Fr.) Singer",30.7575,152.944,153.02,30.8058,ES
267471,"Amanita sect. Lepidella sensu Bas",25.7753,27.8904,28.262,25.9449,ES
268815,"Amanita sponsus Tulloss et al. nom. prov.",32.9428,117.223,117.115,32.9043,WN
267621,"Amanita Pers.",25.8109,28.2778,28.2955,25.8205,ES
267769,"Amanita ocreata Peck",35.3631,120.845,120.799,35.326,WN
267767,"Amanita Pers.",35.3631,120.845,120.799,35.326,WN
267766,"Amanita gemmata group",35.5638,121.105,121.082,35.5477,WN
267764,,35.5638,121.105,121.082,35.5477,WN
267667,"Amanita muscaria group",37.608,122.456,122.453,37.6053,WN
267665,"Amanita muscaria subsp. flavivolvata Singer",37.608,122.456,122.453,37.6053,WN
267254,"Amanita Pers.",25.6247,28.4929,28.579,25.7252,ES
267286,"Amanita rubescens Pers.",39.52,7.53,7.24,39.12,WN
267229,"Amanita foetidissima D.A. Reid & Eicker",25.6149,28.2746,28.2805,25.6194,ES
267228,"Amanita foetidissima D.A. Reid & Eicker",25.9779,28.123,28.133,25.9851,ES
267227,"Amanita augusta Bojantchev & R.M. Davis",37.974,122.269,122.256,37.9594,WN
267222,"Amanita aureofloccosa Bas",25.8109,28.2778,28.2955,25.8205,ES
267120,"Amanita velosa (Peck) Lloyd",37.9382,122.324,122.281,37.8978,WN
267119,"Amanita velosa (Peck) Lloyd",37.9382,122.324,122.281,37.8978,WN
266996,"Amanita magniverrucata Thiers & Ammirati",35.5829,121.114,121.089,35.5733,WN
266906,"Amanita muscaria subsp. flavivolvata Singer",37.749,122.261,122.226,37.7197,WN
266855,"Amanita pleropus (Kalchbr. & MacOwan) D.A. Reid",25.6926,28.2176,28.2422,25.7273,ES
268271,"Amanita macerisolum Tulloss Rodr. Cayc. & Geml nom. prov.",31.7329,116.693,116.687,31.726,WN
267708,"Amanita persicina (Dav. T. Jenkins) Tulloss & Geml",30.4632,81.4898,81.4871,30.4605,WN
266661,"Amanita mappa (Batsch) Fr.",38.745,9.2261,9.1708,38.696,WN
267584,"Amanita phalloides (Fr.) Link",37.7344,122.057,122.052,37.7119,WN
266567,"Amanita Pers.",37.7344,122.057,122.052,37.7119,WN
266472,"Amanita Pers.",32.0657,151.662,151.665,32.0684,ES
266608,"Amanitaceae E.-J. Gilbert",37.0072,121.906,121.839,36.9581,NN
266219,"Amanita foetidissima D.A. Reid & Eicker",26.0089,28.1257,28.1309,26.013,ES
266203,"Volvopluteus gloiocephalus (DC.) Vizzini Contu & Justo",32.9397,117.283,117.214,32.8054,WN
266128,"Amanita muscaria subsp. flavivolvata Singer",37.1675,122.365,122.297,37.1123,WN
265957,"Amanita foetidissima D.A. Reid & Eicker",25.7753,27.8904,28.262,25.9449,ES
267332,"Amanita magniverrucata Thiers & Ammirati",38.1368,122.903,122.884,38.1223,NN
267321,"Amanita phalloides (Fr.) Link",38.1368,122.903,122.884,38.1223,NN
267152,"Amanita porphyria Alb. & Schwein.",38.1892,122.936,122.816,38.0455,WN
266935,"Amanita Pers.",38.1892,122.936,122.816,38.0455,WN
266924,"Amanita Pers.",38.1892,122.936,122.816,38.0455,WN
266060,"Amanita gemmata group",38.0461,122.83,122.801,38.0393,NN
265927,"Amanita pachycolea D.E. Stuntz",38.1892,122.936,122.816,38.0455,WN
